"","word","count","sentiment","n"
"304","dragged",1,"negative",1
"305","drain",6,"negative",1
"306","drones",9,"negative",1
"307","drunk",2,"negative",1
"308","drunken",1,"negative",1
"309","dumb",2,"negative",1
"310","dump",2,"negative",1
"311","dumping",1,"negative",1
"312","dust",1,"negative",1
"313","dwindling",2,"negative",1
"314","dying",7,"negative",1
"315","dynamic",1,"positive",1
"316","eager",3,"positive",1
"317","easier",1,"positive",1
"318","easy",4,"positive",1
"319","educated",3,"positive",1
"320","effective",7,"positive",1
"321","effectively",1,"positive",1
"322","effectiveness",2,"positive",1
"323","efficient",1,"positive",1
"324","elite",6,"positive",1
"325","embarrass",1,"negative",1
"326","embarrassing",1,"negative",1
"327","eminent",1,"positive",1
"328","endorsed",2,"positive",1
"329","endorsement",1,"positive",1
"330","endorsing",2,"positive",1
"331","enemies",3,"negative",1
"332","enemy",9,"negative",1
"333","enjoy",5,"positive",1
"334","enjoyed",1,"positive",1
"335","enjoying",1,"positive",1
"336","enlightenment",1,"positive",1
"337","enough",13,"positive",1
"338","enthusiast",2,"positive",1
"339","envious",1,"negative",1
"340","envious",1,"positive",1
"341","envy",1,"positive",1
"342","epidemic",1,"negative",1
"343","equitable",3,"positive",1
"344","erase",1,"negative",1
"345","erosion",1,"negative",1
"346","eruptions",1,"negative",1
"347","ethical",1,"positive",1
"348","evenly",1,"positive",1
"349","evil",20,"negative",1
"350","exceed",1,"positive",1
"351","exceeded",1,"positive",1
"352","exceeding",1,"positive",1
"353","excellent",3,"positive",1
"354","exceptional",1,"positive",1
"355","excessive",1,"negative",1
"356","excited",1,"positive",1
"357","excuse",2,"negative",1
"358","expensive",3,"negative",1
"359","expired",1,"negative",1
"360","extraordinary",1,"positive",1
"361","fabulous",1,"positive",1
"362","fail",25,"negative",1
"363","failed",40,"negative",1
"364","failing",5,"negative",1
"365","fails",3,"negative",1
"366","failure",9,"negative",1
"367","failures",2,"negative",1
"368","fair",7,"positive",1
"369","faith",4,"positive",1
"370","faithful",1,"positive",1
"371","fake",4,"negative",1
"372","fall",694,"negative",1
"373","fallacy",2,"negative",1
"374","fallen",11,"negative",1
"375","falling",37,"negative",1
"376","falls",18,"negative",1
"377","false",3,"negative",1
"378","falsehood",1,"negative",1
"379","falter",1,"negative",1
"380","fame",1,"positive",1
"381","famous",8,"positive",1
"382","fans",2,"positive",1
"383","fantastic",3,"positive",1
"384","farce",2,"negative",1
"385","fascinating",4,"positive",1
"386","fascination",1,"positive",1
"387","fascism",6,"negative",1
"388","fascist",6,"negative",1
"389","fast",6,"positive",1
"390","faster",12,"positive",1
"391","fat",2,"negative",1
"392","fatal",2,"negative",1
"393","fatalistic",1,"negative",1
"394","fault",3,"negative",1
"395","faulty",1,"negative",1
"396","fav",1,"positive",1
"397","favor",1,"positive",1
"398","favorite",3,"positive",1
"399","favour",2,"positive",1
"400","fear",12,"negative",1
"401","fears",1,"negative",1
"402","fell",138,"negative",1
"403","fever",1,"negative",1
"404","filthy",1,"negative",1
"405","fine",9,"positive",1
"406","flawed",1,"negative",1
"407","fleeing",3,"negative",1
"408","fleeting",1,"negative",1
"409","flickering",1,"negative",1
"410","foe",1,"negative",1
"411","fooled",2,"negative",1
"412","foolish",2,"negative",1
"413","formidable",1,"positive",1
"414","fraud",1,"negative",1
"415","fraudulent",1,"negative",1
"416","free",19,"positive",1
"417","freed",1,"positive",1
"418","freedom",7,"positive",1
"419","freedoms",2,"positive",1
"420","fret",1,"negative",1
"421","fried",2,"negative",1
"422","frightening",2,"negative",1
"423","froze",1,"negative",1
"424","frozen",1,"negative",1
"425","fuck",13,"negative",1
"426","fucking",10,"negative",1
"427","fumes",1,"negative",1
"428","fun",11,"positive",1
"429","funny",8,"negative",1
"430","furious",1,"negative",1
"431","futile",1,"negative",1
"432","futility",1,"negative",1
"433","gain",1,"positive",1
"434","gains",1,"positive",1
"435","gasp",1,"negative",1
"436","gems",2,"positive",1
"437","genocide",4,"negative",1
"438","ghastly",1,"negative",1
"439","glad",5,"positive",1
"440","glorify",1,"positive",1
"441","glorious",2,"positive",1
"442","glory",7,"positive",1
"443","gold",9,"positive",1
"444","golden",3,"positive",1
"445","good",71,"positive",1
"446","gossip",1,"negative",1
"447","grand",3,"positive",1
"448","grandeur",1,"positive",1
"449","great",260,"positive",1
"450","greatest",20,"positive",1
"451","greatness",4,"positive",1
"452","greed",19,"negative",1
"453","greedy",4,"negative",1
"454","grief",1,"negative",1
"455","grossly",1,"negative",1
"456","guarantee",1,"positive",1
"457","guilty",1,"negative",1
"458","hail",7,"positive",1
"459","hallmark",1,"positive",1
"460","hang",2,"negative",1
"461","hangs",2,"negative",1
"462","happy",8,"positive",1
"463","hard",20,"negative",1
"464","hardball",1,"negative",1
"465","hate",7,"negative",1
"466","hated",2,"negative",1
"467","hates",3,"negative",1
"468","hating",1,"negative",1
"469","hazy",1,"negative",1
"470","headaches",1,"negative",1
"471","heal",3,"positive",1
"472","healthy",1,"positive",1
"473","heaven",1,"positive",1
"474","hegemony",4,"negative",1
"475","hell",18,"negative",1
"476","helped",7,"positive",1
"477","helping",3,"positive",1
"478","hero",2,"positive",1
"479","hideous",1,"negative",1
"480","hilarious",1,"positive",1
"481","hoax",2,"negative",1
"482","holy",168,"positive",1
"483","homage",1,"positive",1
"484","honest",3,"positive",1
"485","honor",2,"positive",1
"486","hooray",1,"positive",1
"487","hopelessly",1,"negative",1
"488","horrible",3,"negative",1
"489","hubris",2,"negative",1
"490","hug",1,"positive",1
"491","humor",1,"positive",1
"492","humorous",1,"positive",1
"493","hurt",2,"negative",1
"494","hurts",1,"negative",1
"495","hype",1,"negative",1
"496","hypocrisy",2,"negative",1
"497","hypocrites",1,"negative",1
"498","hypocritical",2,"negative",1
"499","hysteria",1,"negative",1
"500","ideal",2,"positive",1
"501","idiocy",1,"negative",1
"502","idiot",4,"negative",1
"503","idiotic",2,"negative",1
"504","idiots",5,"negative",1
"505","ignorance",4,"negative",1
"506","ignorant",9,"negative",1
"507","ignore",6,"negative",1
"508","illegal",10,"negative",1
"509","illegally",3,"negative",1
"510","illiterate",1,"negative",1
"511","illness",1,"negative",1
"512","illuminate",1,"positive",1
"513","illuminati",3,"positive",1
"514","illusions",1,"negative",1
"515","immense",1,"positive",1
"516","immoral",1,"negative",1
"517","immorality",5,"negative",1
"518","impaired",1,"negative",1
"519","impassioned",1,"positive",1
"520","impeach",6,"negative",1
"521","imperialist",3,"negative",1
"522","implode",3,"negative",1
"523","important",4,"positive",1
"524","impossible",2,"negative",1
"525","impress",1,"positive",1
"526","impressed",1,"positive",1
"527","impressive",3,"positive",1
"528","imprison",2,"negative",1
"529","improvements",1,"positive",1
"530","inability",1,"negative",1
"531","inadequate",1,"negative",1
"532","incompetence",1,"negative",1
